Temperature,Humidity,Pressure,Co2,Hour,Minute,Second
35.91,43,923.8,611,0,0,13
35.91,58,923.8,611,0,0,14
35.93,43,923.8,620,0,0,28
35.93,52,923.8,620,0,0,29
35.93,57,923.9,629,0,0,43
35.93,44,923.9,629,0,0,44
35.93,34,923.8,631,0,0,59
35.93,40,923.8,631,0,1,0
35.93,51,923.8,631,0,1,14
35.96,35,923.9,631,0,1,15
35.96,37,923.9,631,0,1,29
35.98,47,923.9,630,0,1,30
35.98,32,923.9,629,0,1,44
35.98,47,923.9,629,0,1,45
35.98,53,923.8,625,0,1,59
35.98,48,923.8,625,0,2,0
35.98,33,923.9,628,0,2,14
35.98,46,923.9,628,0,2,15
35.98,47,923.8,626,0,2,29
35.98,36,923.8,626,0,2,30
35.98,46,923.8,622,0,2,44
35.98,47,923.8,622,0,2,45
35.98,41,923.8,628,0,2,59
35.98,51,923.8,628,0,3,0
35.98,60,923.8,628,0,3,15
35.98,51,923.8,628,0,3,16
35.96,53,923.9,621,0,3,30
35.96,33,923.9,621,0,3,31
35.98,33,923.9,617,0,3,45
35.98,36,923.9,617,0,3,46
35.98,38,923.8,613,0,4,0
35.98,37,923.8,613,0,4,1
35.98,33,923.8,615,0,4,15
35.98,39,923.8,615,0,4,16
35.98,45,923.9,614,0,4,30
35.98,47,923.9,614,0,4,31
35.98,50,923.9,610,0,4,45
35.98,41,923.9,610,0,4,46
35.98,32,923.9,609,0,5,0
35.98,36,923.9,609,0,5,1
35.98,58,923.9,611,0,5,15
35.98,53,923.9,611,0,5,16
36.0,48,923.9,611,0,5,30
36.0,54,923.9,611,0,5,31
35.98,58,923.8,617,0,5,45
35.98,49,923.8,617,0,5,46
35.98,49,923.9,627,0,6,0
35.98,54,923.9,627,0,6,1
35.98,51,923.9,622,0,6,15
35.98,58,923.9,622,0,6,16
36.0,44,923.8,622,0,6,31
36.0,57,923.8,622,0,6,32
36.0,38,923.9,623,0,6,46
36.0,45,923.9,623,0,6,47
35.98,56,923.9,622,0,7,1
35.98,58,923.9,622,0,7,2
35.98,56,923.9,621,0,7,16
35.98,44,923.9,621,0,7,17
35.98,39,923.9,618,0,7,31
35.98,51,923.9,618,0,7,32
35.98,56,923.9,618,0,7,46
35.98,42,923.9,618,0,7,47
35.98,33,923.9,618,0,8,1
35.98,46,923.9,618,0,8,2
35.98,42,923.9,619,0,8,16
35.98,43,923.9,619,0,8,17
35.98,59,923.8,620,0,8,31
35.98,43,923.8,620,0,8,32
35.98,40,923.8,620,0,8,46
35.98,45,923.8,620,0,8,47
35.96,42,923.9,620,0,9,1
35.96,57,923.9,620,0,9,2
35.96,40,923.8,617,0,9,17
35.96,30,923.8,617,0,9,18
35.96,46,923.8,612,0,9,32
35.96,47,923.8,612,0,9,33
35.96,45,923.9,611,0,9,47
35.96,56,923.9,611,0,9,48
35.96,33,923.8,606,0,10,2
35.96,53,923.8,606,0,10,3
35.96,35,923.8,607,0,10,17
35.96,52,923.8,607,0,10,18
35.96,60,923.8,606,0,10,32
35.96,44,923.8,606,0,10,33
35.98,49,923.8,611,0,10,47
35.98,50,923.8,608,0,10,48
35.98,40,923.8,608,0,11,2
36.0,46,923.8,608,0,11,3
36.0,41,923.8,610,0,11,17
36.0,46,923.8,610,0,11,18
36.0,48,923.8,609,0,11,32
36.0,43,923.8,609,0,11,33
36.0,42,923.8,606,0,11,47
36.0,53,923.8,606,0,11,49
36.0,45,923.9,608,0,12,3
36.0,33,923.9,608,0,12,4
36.0,57,923.8,608,0,12,18
36.0,50,923.8,608,0,12,19
36.0,33,923.9,607,0,12,33
36.0,44,923.9,607,0,12,34
36.0,51,923.8,609,0,12,48
36.0,37,923.8,609,0,12,49
36.0,54,923.8,613,0,13,3
36.0,50,923.8,613,0,13,4
35.98,57,923.8,612,0,13,18
35.98,33,923.8,612,0,13,19
36.0,38,923.8,614,0,13,33
36.0,32,923.8,614,0,13,34
36.0,38,923.8,613,0,13,48
36.0,46,923.8,613,0,13,49
36.0,44,923.8,617,0,14,3
36.0,60,923.8,617,0,14,4
36.0,59,923.8,618,0,14,18
36.0,58,923.8,618,0,14,19
35.98,43,923.8,621,0,14,33
35.98,59,923.8,621,0,14,34
35.98,37,923.8,620,0,14,48
35.98,58,923.8,620,0,14,50
35.98,30,923.8,619,0,15,4
35.98,45,923.8,619,0,15,5
35.98,40,923.8,618,0,15,19
35.98,36,923.8,618,0,15,20
35.98,47,923.8,613,0,15,34
35.98,54,923.8,613,0,15,35
35.98,60,923.8,615,0,15,49
35.98,49,923.8,615,0,15,50
35.98,53,923.8,614,0,16,4
35.98,52,923.8,614,0,16,5
35.98,59,923.9,616,0,16,19
35.98,46,923.9,616,0,16,20
35.98,60,923.8,615,0,16,34
35.98,52,923.8,615,0,16,35
35.98,43,923.8,606,0,16,49
35.98,36,923.8,606,0,16,50
35.98,58,923.8,605,0,17,4
35.98,35,923.8,605,0,17,5
35.96,33,923.8,608,0,17,19
35.96,43,923.8,608,0,17,20
35.96,38,923.8,611,0,17,34
35.96,51,923.8,611,0,17,35
35.98,32,923.8,613,0,17,49
35.98,36,923.8,613,0,17,50
35.96,56,923.8,607,0,18,4
35.96,31,923.8,607,0,18,6
35.96,40,923.8,610,0,18,20
35.96,45,923.8,610,0,18,21
35.96,59,923.8,610,0,18,35
35.96,59,923.8,610,0,18,36
35.95,34,923.8,611,0,18,50
35.95,50,923.8,611,0,18,51
35.95,32,923.8,614,0,19,5
35.95,30,923.8,614,0,19,6
35.93,30,923.8,609,0,19,20
35.93,42,923.8,609,0,19,21
35.93,58,923.8,608,0,19,35
35.93,47,923.8,608,0,19,36
35.95,34,923.8,605,0,19,50
35.95,33,923.8,605,0,19,51
35.93,49,923.8,610,0,20,5
35.93,55,923.8,610,0,20,6
35.93,59,923.8,613,0,20,20
35.93,54,923.8,613,0,20,21
35.95,40,923.8,612,0,20,35
35.96,32,923.8,611,0,20,36
35.96,57,923.8,611,0,20,50
35.96,30,923.8,609,0,20,51
35.96,32,923.8,610,0,21,5
35.96,43,923.8,610,0,21,6
35.96,54,923.8,604,0,21,20
35.96,45,923.8,604,0,21,22
35.95,39,923.8,598,0,21,35
35.95,35,923.8,598,0,21,37
35.95,53,923.8,595,0,21,51
35.95,54,923.8,595,0,21,52
35.95,34,923.8,596,0,22,6
35.95,40,923.8,596,0,22,7
35.95,39,923.8,598,0,22,21
35.95,47,923.8,598,0,22,22
35.95,44,923.8,600,0,22,36
35.95,34,923.8,600,0,22,37
35.95,41,923.8,600,0,22,51
35.95,57,923.8,600,0,22,52
35.95,37,923.8,602,0,23,6
35.95,40,923.8,602,0,23,7
35.95,52,923.8,600,0,23,21
35.95,53,923.8,600,0,23,22
35.95,46,923.7,608,0,23,36
35.95,33,923.7,608,0,23,37
35.95,50,923.8,605,0,23,51
35.95,49,923.8,605,0,23,52
35.95,59,923.8,605,0,24,6
35.95,47,923.8,605,0,24,7
35.95,32,923.8,609,0,24,21
35.95,43,923.8,609,0,24,23
35.93,42,923.7,608,0,24,36
35.93,59,923.7,608,0,24,38
35.93,30,923.7,605,0,24,52
35.93,39,923.7,605,0,24,53
35.93,55,923.7,599,0,25,7
35.93,38,923.7,599,0,25,8
35.93,48,923.7,604,0,25,22
35.93,53,923.7,604,0,25,23
35.93,58,923.7,602,0,25,37
35.93,60,923.7,602,0,25,38
35.93,40,923.7,606,0,25,52
35.93,46,923.7,606,0,25,53
35.93,42,923.7,607,0,26,7
35.93,53,923.7,607,0,26,8
35.93,50,923.8,611,0,26,22
35.93,44,923.8,611,0,26,23
35.93,51,923.7,612,0,26,37
35.93,52,923.7,612,0,26,38
35.91,32,923.8,617,0,26,52
35.91,56,923.8,617,0,26,53
35.91,58,923.7,609,0,27,7
35.91,45,923.7,609,0,27,8
35.91,44,923.8,609,0,27,22
35.91,40,923.8,609,0,27,23
35.91,42,923.8,610,0,27,37
35.91,51,923.8,610,0,27,38
35.89,37,923.8,607,0,27,53
35.89,42,923.8,607,0,27,54
