Temperature,Humidity,Pressure,Co2,Hour,Minute,Second
35.43,45,933.9,470,0,0,8
35.43,38,933.9,470,0,0,9
35.45,33,933.9,473,0,0,23
35.45,56,933.9,473,0,0,24
35.45,31,933.9,475,0,0,38
35.48,41,933.9,477,0,0,39
35.48,42,933.9,473,0,0,53
35.48,39,933.9,473,0,0,54
35.48,37,933.9,470,0,1,8
35.48,37,933.9,470,0,1,9
35.48,50,933.9,463,0,1,24
35.48,30,933.9,463,0,1,24
35.48,41,933.9,459,0,1,39
35.48,51,933.9,459,0,1,39
35.48,59,933.9,459,0,1,54
35.48,50,933.9,459,0,1,55
35.48,59,933.9,459,0,2,9
35.48,47,933.9,459,0,2,10
35.48,43,933.9,455,0,2,24
35.48,43,933.9,455,0,2,25
35.48,60,933.9,458,0,2,39
35.48,46,933.9,458,0,2,40
35.48,31,933.9,459,0,2,54
35.48,60,933.9,459,0,2,55
35.48,38,933.8,463,0,3,9
35.48,45,933.8,463,0,3,10
35.48,46,933.8,467,0,3,24
35.48,34,933.8,467,0,3,25
35.48,51,933.8,473,0,3,39
35.48,52,933.8,473,0,3,40
35.48,32,933.9,471,0,3,55
35.48,34,933.9,471,0,3,55
35.5,59,933.9,469,0,4,10
35.5,36,933.9,469,0,4,11
35.5,49,933.8,466,0,4,25
35.5,45,933.8,466,0,4,26
35.5,50,933.8,466,0,4,40
35.5,46,933.8,466,0,4,41
35.5,46,933.9,457,0,4,55
35.5,53,933.9,457,0,4,56
35.5,57,933.8,456,0,5,10
35.5,37,933.8,456,0,5,11
35.5,58,933.9,454,0,5,25
35.5,30,933.9,454,0,5,26
35.5,50,933.9,452,0,5,41
35.5,32,933.9,452,0,5,42
35.5,59,933.9,449,0,5,56
35.5,32,933.9,449,0,5,57
35.5,33,933.9,448,0,6,11
35.5,33,933.9,448,0,6,12
35.48,42,933.9,449,0,6,27
35.48,37,933.9,449,0,6,27
35.48,38,933.9,451,0,6,42
35.48,58,933.9,451,0,6,43
35.48,59,933.9,451,0,6,57
35.48,38,933.9,451,0,6,58
35.46,56,933.9,454,0,7,12
35.46,43,933.9,454,0,7,13
35.46,50,933.8,456,0,7,28
35.46,47,933.8,456,0,7,29
35.46,60,933.8,454,0,7,43
35.46,39,933.8,454,0,7,44
35.46,34,933.9,453,0,7,58
35.46,56,933.9,453,0,7,59
35.46,60,933.9,461,0,8,13
35.46,41,933.9,461,0,8,14
35.48,48,933.9,459,0,8,28
35.48,53,933.9,459,0,8,29
35.5,38,933.8,455,0,8,44
35.5,55,933.9,450,0,8,44
35.5,47,933.9,451,0,8,59
35.5,33,933.9,451,0,8,59
35.5,58,933.8,459,0,9,14
35.5,42,933.8,459,0,9,14
35.5,38,933.9,459,0,9,29
35.5,43,933.9,459,0,9,30
35.5,40,933.9,459,0,9,44
35.5,37,933.9,459,0,9,45
35.5,42,933.9,463,0,9,59
35.5,45,933.9,463,0,10,0
35.5,35,933.9,462,0,10,14
35.5,58,933.9,462,0,10,15
35.5,38,933.9,460,0,10,30
35.5,48,933.9,460,0,10,30
35.5,32,933.9,460,0,10,45
35.5,58,933.9,460,0,10,45
35.5,55,933.9,460,0,11,0
35.5,37,933.9,460,0,11,0
35.48,30,933.9,456,0,11,15
35.48,34,933.9,456,0,11,15
35.48,60,933.9,455,0,11,30
35.48,41,933.9,455,0,11,31
35.48,57,933.9,453,0,11,45
35.48,37,933.9,453,0,11,46
35.48,53,933.9,456,0,12,0
35.48,55,933.9,456,0,12,1
35.48,35,933.9,456,0,12,15
35.48,55,933.9,456,0,12,16
35.48,54,933.9,457,0,12,30
35.48,51,933.9,457,0,12,31
35.48,54,934.0,453,0,12,45
35.48,44,934.0,453,0,12,46
35.48,59,933.9,453,0,13,0
35.48,42,933.9,453,0,13,1
35.48,51,933.9,449,0,13,16
35.48,42,933.9,449,0,13,17
35.48,47,933.9,448,0,13,31
35.48,49,933.9,448,0,13,32
35.46,49,933.9,449,0,13,46
35.46,58,933.9,449,0,13,47
35.46,47,933.9,453,0,14,1
35.46,51,933.9,453,0,14,3
35.46,43,933.9,452,0,14,16
35.46,60,933.9,452,0,14,18
35.46,48,933.9,455,0,14,31
35.46,58,933.9,455,0,14,33
35.45,32,933.9,454,0,14,47
35.45,32,933.9,454,0,14,48
35.43,32,933.9,455,0,15,2
35.43,52,933.9,455,0,15,3
35.43,34,933.9,454,0,15,17
35.43,44,933.9,454,0,15,18
35.43,30,933.9,454,0,15,32
35.43,44,933.9,454,0,15,33
35.43,39,933.9,458,0,15,47
35.43,35,933.9,458,0,15,48
35.43,56,933.9,453,0,16,2
35.43,52,933.9,453,0,16,4
35.43,45,933.9,455,0,16,17
35.43,55,933.9,455,0,16,19
35.43,56,933.8,458,0,16,33
35.43,41,933.8,458,0,16,34
35.43,47,933.9,457,0,16,48
35.43,58,933.9,457,0,16,49
35.45,49,933.9,457,0,17,3
35.45,44,933.9,458,0,17,4
35.45,56,933.9,458,0,17,18
35.46,37,933.9,460,0,17,19
35.46,44,933.9,460,0,17,33
35.48,52,933.9,460,0,17,34
35.48,37,933.9,460,0,17,48
35.48,57,933.9,460,0,17,49
35.48,53,933.9,456,0,18,3
35.48,40,933.9,456,0,18,4
35.48,44,933.9,456,0,18,18
35.48,34,933.9,456,0,18,19
35.46,53,933.9,451,0,18,33
35.46,60,933.9,451,0,18,34
35.46,31,933.9,452,0,18,48
35.46,60,933.9,452,0,18,49
35.46,49,933.9,451,0,19,4
35.46,40,933.9,451,0,19,5
35.46,55,933.9,452,0,19,19
35.46,38,933.9,452,0,19,20
35.46,34,933.9,453,0,19,34
35.46,45,933.9,453,0,19,35
35.46,54,933.8,454,0,19,49
35.46,37,933.8,454,0,19,50
35.46,51,933.9,457,0,20,4
35.46,42,933.9,457,0,20,5
35.46,43,933.8,458,0,20,19
35.46,33,933.8,458,0,20,20
35.45,56,933.9,460,0,20,34
35.45,35,933.9,460,0,20,36
35.45,34,933.8,458,0,20,49
35.45,56,933.8,458,0,20,51
35.45,45,933.8,458,0,21,4
35.45,42,933.8,458,0,21,6
35.45,38,933.8,460,0,21,19
35.45,38,933.8,460,0,21,21
35.45,41,933.8,455,0,21,34
35.45,55,933.8,455,0,21,36
35.45,56,933.8,453,0,21,50
35.45,35,933.8,453,0,21,51
35.45,45,933.8,454,0,22,5
35.45,53,933.8,454,0,22,6
35.45,43,933.8,451,0,22,20
35.45,35,933.8,451,0,22,21
35.45,43,933.8,454,0,22,35
35.45,50,933.8,454,0,22,36
35.45,43,933.8,454,0,22,50
35.45,36,933.8,454,0,22,52
35.43,40,933.8,456,0,23,5
35.43,36,933.8,456,0,23,7
35.43,47,933.8,459,0,23,20
35.43,53,933.8,459,0,23,22
35.43,36,933.8,459,0,23,35
35.43,50,933.8,459,0,23,37
35.43,50,933.8,462,0,23,51
35.43,56,933.8,462,0,23,52
35.43,52,933.8,463,0,24,6
35.43,44,933.8,463,0,24,7
35.41,40,933.8,458,0,24,21
35.41,34,933.8,458,0,24,22
35.41,49,933.8,453,0,24,36
35.41,59,933.8,453,0,24,37
35.39,45,933.7,455,0,24,51
35.39,59,933.7,455,0,24,53
35.39,38,933.7,454,0,25,6
35.39,30,933.7,454,0,25,8
35.39,45,933.7,454,0,25,21
35.39,47,933.7,454,0,25,23
35.38,35,933.7,457,0,25,36
35.38,51,933.7,457,0,25,38
35.39,55,933.7,461,0,25,51
35.39,55,933.7,461,0,25,53
35.38,55,933.7,464,0,26,6
35.38,42,933.7,464,0,26,8
35.39,30,933.7,469,0,26,21
35.39,44,933.7,468,0,26,23
35.39,38,933.7,468,0,26,37
35.39,35,933.7,462,0,26,38
35.39,30,933.7,462,0,26,52
35.43,47,933.7,465,0,26,53
35.43,47,933.7,465,0,27,7
35.41,59,933.7,466,0,27,8
35.43,32,933.7,464,0,27,22
35.43,36,933.7,464,0,27,23
35.43,35,933.7,462,0,27,37
35.43,48,933.7,462,0,27,38
35.43,51,933.7,459,0,27,52
35.43,50,933.7,459,0,27,54
35.43,33,933.7,462,0,28,7
35.43,57,933.7,462,0,28,9
35.43,35,933.7,458,0,28,22
35.43,34,933.7,458,0,28,24
35.43,41,933.7,463,0,28,37
35.43,50,933.7,463,0,28,39
35.43,50,933.7,461,0,28,53
35.43,46,933.7,461,0,28,54
35.43,36,933.7,465,0,29,8
35.43,31,933.7,465,0,29,9
35.41,53,933.7,471,0,29,23
35.41,55,933.7,471,0,29,24
35.43,35,933.7,472,0,29,38
35.43,37,933.7,472,0,29,39
35.43,39,933.7,474,0,29,53
35.43,55,933.7,474,0,29,54
35.43,35,933.7,467,0,30,8
35.43,46,933.7,467,0,30,9
35.43,47,933.6,464,0,30,23
35.43,50,933.6,464,0,30,24
35.43,42,933.7,461,0,30,38
35.43,43,933.7,461,0,30,39
35.41,30,933.6,454,0,30,53
35.41,37,933.6,454,0,30,54
35.41,43,933.6,450,0,31,8
35.41,51,933.6,450,0,31,10
35.41,38,933.6,446,0,31,23
35.41,56,933.6,446,0,31,25
35.41,33,933.6,446,0,31,38
35.41,41,933.6,446,0,31,40
35.41,57,933.6,447,0,31,53
35.41,42,933.6,447,0,31,55
35.41,54,933.6,446,0,32,8
35.41,56,933.6,446,0,32,10
35.41,57,933.6,443,0,32,24
35.41,45,933.6,443,0,32,25
35.41,32,933.5,445,0,32,39
35.41,31,933.5,445,0,32,40
35.41,56,933.6,450,0,32,54
35.41,58,933.6,450,0,32,55
35.41,41,933.6,452,0,33,9
35.41,30,933.6,452,0,33,10
35.41,45,933.6,456,0,33,24
35.41,55,933.6,456,0,33,25
35.39,35,933.6,463,0,33,39
35.39,31,933.6,463,0,33,40
35.39,48,933.5,461,0,33,54
35.39,51,933.5,461,0,33,55
35.39,60,933.5,462,0,34,9
35.39,49,933.5,462,0,34,10
35.38,55,933.5,457,0,34,24
35.38,36,933.5,457,0,34,26
35.38,54,933.5,454,0,34,39
35.38,48,933.5,454,0,34,41
35.38,41,933.5,455,0,34,54
35.38,50,933.5,455,0,34,56
35.38,44,933.5,453,0,35,10
35.38,57,933.5,453,0,35,11
35.38,39,933.5,449,0,35,25
35.38,50,933.5,449,0,35,26
35.39,59,933.5,447,0,35,40
35.39,30,933.5,447,0,35,41
35.39,40,933.5,445,0,35,55
35.39,58,933.5,445,0,35,56
35.39,48,933.5,444,0,36,10
35.39,35,933.5,444,0,36,11
35.41,60,933.5,447,0,36,25
35.43,60,933.5,451,0,36,26
35.43,42,933.5,451,0,36,40
35.43,45,933.5,456,0,36,41
35.43,30,933.5,453,0,36,55
35.43,52,933.5,453,0,36,56
35.43,47,933.5,450,0,37,10
35.43,53,933.5,450,0,37,11
35.45,33,933.5,452,0,37,25
35.45,58,933.5,452,0,37,26
35.45,35,933.5,453,0,37,40
35.45,55,933.5,453,0,37,42
35.45,36,933.5,458,0,37,56
35.45,43,933.5,458,0,37,57
35.45,39,933.5,456,0,38,11
35.45,45,933.5,456,0,38,12
35.46,50,933.5,455,0,38,26
35.46,34,933.5,455,0,38,27
35.46,37,933.5,454,0,38,41
35.46,39,933.5,454,0,38,42
35.46,36,933.5,448,0,38,56
35.46,43,933.5,448,0,38,57
35.46,52,933.5,445,0,39,11
35.46,48,933.5,445,0,39,12
35.46,41,933.5,444,0,39,26
35.46,51,933.5,444,0,39,27
35.46,40,933.5,442,0,39,41
35.46,53,933.5,442,0,39,42
35.45,55,933.5,441,0,39,56
35.45,41,933.5,441,0,39,57
35.45,51,933.5,445,0,40,12
35.45,42,933.5,445,0,40,13
35.45,38,933.5,448,0,40,27
35.45,32,933.5,448,0,40,28
35.45,43,933.5,445,0,40,42
35.45,37,933.5,445,0,40,43
35.43,54,933.4,446,0,40,57
35.43,30,933.4,446,0,40,58
35.43,42,933.4,445,0,41,12
35.43,53,933.4,445,0,41,13
35.43,55,933.4,449,0,41,27
35.43,47,933.4,449,0,41,28
35.43,54,933.5,447,0,41,42
35.43,39,933.5,447,0,41,43
35.45,35,933.5,450,0,41,57
35.45,59,933.5,450,0,41,58
35.43,51,933.5,452,0,42,12
35.43,37,933.5,452,0,42,13
35.43,31,933.5,449,0,42,27
35.43,46,933.5,449,0,42,29
35.43,43,933.4,447,0,42,43
35.43,46,933.4,447,0,42,44
35.41,60,933.4,452,0,42,58
35.41,43,933.4,452,0,42,59
35.41,47,933.5,449,0,43,13
35.41,44,933.5,449,0,43,14
35.41,40,933.5,449,0,43,28
35.41,30,933.5,449,0,43,29
35.41,49,933.4,451,0,43,43
35.41,31,933.4,451,0,43,44
35.41,47,933.4,454,0,43,58
35.41,34,933.4,454,0,43,59
35.39,57,933.4,454,0,44,13
35.39,32,933.4,454,0,44,14
35.39,38,933.4,457,0,44,28
35.39,51,933.4,457,0,44,29
35.39,47,933.4,461,0,44,43
35.39,56,933.4,461,0,44,44
35.39,39,933.4,460,0,44,58
35.39,42,933.4,460,0,44,59
35.39,36,933.4,456,0,45,13
35.39,38,933.4,456,0,45,15
35.39,48,933.4,455,0,45,29
35.39,34,933.4,455,0,45,30
35.39,54,933.4,459,0,45,44
35.39,54,933.4,461,0,45,45
35.39,57,933.4,461,0,45,59
35.43,30,933.4,465,0,46,0
35.43,32,933.4,465,0,46,14
35.43,49,933.4,463,0,46,15
35.43,33,933.4,465,0,46,29
35.43,59,933.4,465,0,46,30
35.43,31,933.4,468,0,46,44
35.43,45,933.4,468,0,46,45
35.43,41,933.3,466,0,46,59
